municipio;distrito;tipo;caminho_relativo;url;motivo
Nisa;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Nisa/OSM_gis_osm_natural_a_free_1_Nisa.zip;http://localhost:8000/data/Portalegre/Nisa/OSM_gis_osm_natural_a_free_1_Nisa.zip;HTTP 404
Ponte de Sor;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Ponte_de_Sor/OSM_gis_osm_natural_a_free_1_Ponte_de_Sor.zip;http://localhost:8000/data/Portalegre/Ponte_de_Sor/OSM_gis_osm_natural_a_free_1_Ponte_de_Sor.zip;HTTP 404
Ponte de Sor;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Ponte_de_Sor/OSM_gis_osm_places_a_free_1_Ponte_de_Sor.zip;http://localhost:8000/data/Portalegre/Ponte_de_Sor/OSM_gis_osm_places_a_free_1_Ponte_de_Sor.zip;HTTP 404
Ponte de Sor;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Ponte_de_Sor/OSM_gis_osm_protected_areas_a_free_1_Ponte_de_Sor.zip;http://localhost:8000/data/Portalegre/Ponte_de_Sor/OSM_gis_osm_protected_areas_a_free_1_Ponte_de_Sor.zip;HTTP 404
Portalegre;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Portalegre/OSM_gis_osm_natural_a_free_1_Portalegre.zip;http://localhost:8000/data/Portalegre/Portalegre/OSM_gis_osm_natural_a_free_1_Portalegre.zip;HTTP 404
Portalegre;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Portalegre/OSM_gis_osm_places_a_free_1_Portalegre.zip;http://localhost:8000/data/Portalegre/Portalegre/OSM_gis_osm_places_a_free_1_Portalegre.zip;HTTP 404
Sousel;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Sousel/OSM_gis_osm_natural_a_free_1_Sousel.zip;http://localhost:8000/data/Portalegre/Sousel/OSM_gis_osm_natural_a_free_1_Sousel.zip;HTTP 404
Sousel;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Sousel/OSM_gis_osm_places_a_free_1_Sousel.zip;http://localhost:8000/data/Portalegre/Sousel/OSM_gis_osm_places_a_free_1_Sousel.zip;HTTP 404
Sousel;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Sousel/OSM_gis_osm_railways_free_1_Sousel.zip;http://localhost:8000/data/Portalegre/Sousel/OSM_gis_osm_railways_free_1_Sousel.zip;HTTP 404
Baião;Porto;OSM:gis_osm_natural_a_free_1;data/Porto/Baião/OSM_gis_osm_natural_a_free_1_Baião.zip;http://localhost:8000/data/Porto/Bai%C3%A3o/OSM_gis_osm_natural_a_free_1_Bai%C3%A3o.zip;HTTP 404
